Date,s1,s2,s3,s4,s5,s6,s7,s8,pca_1,pca_2,pca_3,pca_4,labelrock,labelpaper,labelscissors,labelok
2019-06-06 12:06:05.232749939,-4.31707317073171,-1.21951219512195,-0.463414634146341,-0.048780487804878,3.90243902439024,0.585365853658537,-0.75609756097561,-0.951219512195122,-0.107858257147183,0.058679872287054,-0.179894737719715,0.013561078929427,0,0,0,1
2019-06-06 12:06:05.232875109,-2.43589743589744,-0.897435897435897,-0.461538461538462,-0.435897435897436,-3,-0.743589743589744,-0.256410256410256,-0.692307692307692,0.048176802662735,-0.062045810264125,-0.090306782518533,-0.061056949420343,0,0,0,1
2019-06-06 12:06:05.233000040,-3.55,-1.6,-1.05,-0.95,-1.975,-1.175,-0.45,0.75,0.087308062253004,0.053325984612887,-0.087162596866707,-0.102066114503109,0,0,0,1
2019-06-06 12:06:05.233124971,1.35,-0.7,-0.8,-0.575,0.175,1.625,-0.95,-1.15,-0.068246090199127,0.000293747672724,0.077418700309407,0.022513274073879,0,0,0,1
2019-06-06 12:06:05.233249903,-3.85,-0.7,-0.9,-1.125,0,-0.35,-0.8,-1.5,0.038405882797117,0.079287932781147,-0.096382843338831,-0.031885889440625,0,0,0,1
2019-06-06 12:06:05.233375072,2.63414634146341,0.24390243902439,-0.560975609756098,-0.414634146341463,-3.90243902439024,-3.82926829268293,-0.51219512195122,0.609756097560976,0.107260698062128,-0.192138963678707,0.126995134986943,-0.042412484391633,0,0,0,1
2019-06-06 12:06:05.233500004,-2,-1.25641025641026,-1.25641025641026,-1.17948717948718,5.33333333333333,4.23076923076923,-0.41025641025641,-0.538461538461538,-0.174400086682927,0.224515618803573,-0.005220721227796,0.014318110365025,0,0,0,1
2019-06-06 12:06:05.233624935,0.525,-0.125,-0.25,0.175,-0.125,-3.725,-0.625,-0.65,0.02434629877443,-0.16142585243408,-0.000600404557457,0.012469347058096,0,0,0,1
2019-06-06 12:06:05.233750105,2.825,-0.7,-0.95,-0.775,-1.9,-1.3,-0.75,-0.05,0.042763951173244,-0.060380542050344,0.152559904304913,-0.017636583306078,0,0,0,1
2019-06-06 12:06:05.233875036,-1.225,-0.85,-0.975,-1.05,-1.275,-0.35,-0.45,-1.025,0.044418596327841,0.033294761941355,0.004626026666186,-0.038450831933384,0,0,0,1
2019-06-06 12:06:05.233999968,-0.51219512195122,-0.926829268292683,-1.53658536585366,-0.902439024390244,5,5.09756097560976,-0.536585365853659,-2.09756097560976,-0.185163170886267,0.229903802204329,0.051370468947581,0.051086309807519,0,0,0,1
2019-06-06 12:06:05.234125137,-0.435897435897436,-1.20512820512821,-1.17948717948718,-0.897435897435897,2.8974358974359,6,-0.153846153846154,0.205128205128205,-0.201440024115456,0.167208557140154,0.043241371981377,-0.008203435540266,0,0,0,1
2019-06-06 12:06:05.234250069,-2.025,-1.5,-0.975,-0.575,2.55,0.975,-0.525,-1,-0.065620793087427,0.099482676278106,-0.051189493873415,-0.001030249053488,0,0,0,1
2019-06-06 12:06:05.234375000,-0.5,-0.85,-0.975,-0.95,-1.2,3.65,-0.475,-1.775,-0.062784449053817,0.070553746578749,0.025705767861674,-0.012085846398882,0,0,0,1
2019-06-06 12:06:05.234499931,-1.3,-1.05,-1.2,-1.425,-1.525,0.95,-0.9,-0.45,0.037773379724333,0.088753783687258,0.026480627053686,-0.050781066627501,0,0,0,1
2019-06-06 12:06:05.234625101,-0.926829268292683,-0.560975609756098,-0.439024390243902,-0.390243902439024,-0.463414634146341,-0.219512195121951,-1,-0.609756097560976,-0.022112841938165,-0.052155864334495,-0.030659603177701,-0.004728752278994,0,0,0,1
2019-06-06 12:06:05.234750032,-0.743589743589744,-1.07692307692308,-1.07692307692308,-1.35897435897436,2.28205128205128,3.43589743589744,-1.38461538461538,-2.48717948717949,-0.094462852595573,0.154953101096899,0.031199112809706,0.044043530552369,0,0,0,1
2019-06-06 12:06:05.234874964,1.65853658536585,-0.487804878048781,-1.24390243902439,-1.29268292682927,-2.8780487804878,-0.682926829268293,-1.17073170731707,-0.317073170731707,0.083743714375457,0.001949730106246,0.143018400322597,-0.035443485558685,0,0,0,1
2019-06-06 12:06:05.235000134,-4.05128205128205,-1.05128205128205,-0.256410256410256,0.58974358974359,-3.94871794871795,-3.20512820512821,-0.923076923076923,-0.871794871794872,0.105064685813988,-0.146350617518353,-0.207399991049381,-0.06176741906915,0,0,0,1
2019-06-06 12:06:05.235125065,2.7,-0.775,-0.85,-1.475,-1.925,-2.55,-0.575,-0.975,0.094922423236068,-0.047174038150756,0.165479087210618,-0.012947400493242,0,0,0,1
2019-06-06 12:06:05.235249996,1.4390243902439,-0.536585365853659,-0.292682926829268,0.048780487804878,2.5609756097561,-3.78048780487805,-0.75609756097561,-0.853658536585366,-0.020157687900407,-0.11978050501163,0.03601236847199,0.050820643044433,0,0,0,1
2019-06-06 12:06:05.235374928,1.33333333333333,-1,-0.846153846153846,-0.666666666666667,-2.56410256410256,-0.974358974358974,-0.538461538461538,-0.974358974358974,0.052782789048744,-0.0525794330897,0.078241445967568,-0.024717565535255,0,0,0,1
2019-06-06 12:06:05.235500097,2.63414634146341,-0.585365853658537,-0.804878048780488,-1.1219512195122,-0.707317073170732,-1.65853658536585,-0.682926829268293,0.219512195121951,0.030879516273119,-0.049648687241353,0.155400430473467,-0.011637600164455,0,0,0,1
2019-06-06 12:06:05.235625029,0.384615384615385,-0.846153846153846,-0.846153846153846,-0.769230769230769,-0.692307692307692,0.717948717948718,-0.435897435897436,-0.846153846153846,-0.018863666114965,0.005137857570935,0.050199754890815,-0.014369395517415,0,0,0,1
2019-06-06 12:06:05.235749960,-1.55,-0.525,-0.475,-0.15,1.425,-0.2,-0.375,0.575,-0.068395404968635,-0.03309919585356,-0.054160847116348,-0.018832913242625,0,0,0,1
2019-06-06 12:06:05.235875130,2.02439024390244,-0.926829268292683,-1.78048780487805,-1.26829268292683,0.24390243902439,3.75609756097561,-0.146341463414634,-0.073170731707317,-0.068268674453856,0.15181085976202,0.181489509978011,-0.028625747938983,0,0,0,1
2019-06-06 12:06:05.236000061,2.12820512820513,-0.358974358974359,-0.948717948717949,-1.28205128205128,3.17948717948718,3.05128205128205,-0.948717948717949,-0.641025641025641,-0.14261907060439,0.085761441716046,0.15089386224581,0.048225027852081,0,0,0,1
2019-06-06 12:06:05.236124992,-1.65853658536585,-1.41463414634146,-0.829268292682927,-0.585365853658537,3.53658536585366,1.68292682926829,-0.073170731707317,-1.48780487804878,-0.111365726123001,0.100978212422238,-0.043321469871598,0.017442499699376,0,0,0,1
2019-06-06 12:06:05.236249924,-0.743589743589744,-1.07692307692308,-1,-0.794871794871795,1.05128205128205,0.051282051282051,-0.794871794871795,-0.435897435897436,-0.018153459890863,0.055182789190885,0.014374306239758,-0.011636016757739,0,0,0,1
2019-06-06 12:06:05.236375093,-2.35,-0.95,-0.725,-0.075,-0.3,-0.525,-0.2,-0.725,-0.004385776473774,-0.012307165514518,-0.087821852524983,-0.034162615977153,0,0,0,1
2019-06-06 12:06:05.236500025,-3.17073170731707,-0.926829268292683,-0.853658536585366,-0.707317073170732,1.26829268292683,-0.829268292682927,-1.34146341463415,-1.51219512195122,0.013076825099655,0.062498631408108,-0.09271818460894,0.000327415925646,0,0,0,1
2019-06-06 12:06:05.236624956,-2.8974358974359,-0.769230769230769,-0.974358974358974,-1.51282051282051,-1.87179487179487,-1.84615384615385,-1.15384615384615,-2.07692307692308,0.125577217940548,0.054897025266356,-0.046618566750897,-0.035430703237456,0,0,0,1
2019-06-06 12:06:05.236750126,-0.292682926829268,-1.07317073170732,-0.682926829268293,-1.02439024390244,-3.65853658536585,-1.46341463414634,-0.658536585365854,-0.829268292682927,0.097069060740681,-0.05207022936481,0.021136791018329,-0.051797414984946,0,0,0,1
2019-06-06 12:06:05.236875057,-3.20512820512821,-1,-1,-1.1025641025641,-4.38461538461539,-2.05128205128205,-1.58974358974359,-3.51282051282051,0.18034708927029,0.019051099393353,-0.085071139821395,-0.032722192857107,0,0,0,1
2019-06-06 12:06:05.236999989,-2.925,-0.85,-0.725,-0.3,-0.375,1,-0.375,0.125,-0.036883622757628,0.016590812281821,-0.095858158472957,-0.050129551686729,0,0,0,1
2019-06-06 12:06:05.237124920,0.829268292682927,2.60975609756098,0.024390243902439,-0.609756097560976,0.414634146341463,-2.09756097560976,-2.19512195121951,-2.36585365853658,-0.017181406695625,-0.172530324539428,0.055475468456151,0.094815407501229,0,0,0,1
2019-06-06 12:06:05.237250090,1,2.41025641025641,0.076923076923077,0.82051282051282,-1.46153846153846,3.48717948717949,-0.384615384615385,-0.179487179487179,-0.189231570152185,-0.213614802687979,0.013763616664204,0.027801913517847,0,0,0,1
2019-06-06 12:06:05.237375021,-0.317073170731707,2.75609756097561,-0.585365853658537,-1.36585365853659,-2.53658536585366,-3.48780487804878,-1.29268292682927,-3,0.130374782386389,-0.113924347684993,0.06995452998577,0.026096703110538,0,0,0,1
2019-06-06 12:06:05.237499952,-2.58974358974359,-0.333333333333333,1.84615384615385,0.333333333333333,-2.61538461538462,2.20512820512821,0.307692307692308,-0.974358974358974,-0.176276684057993,-0.312144058874081,-0.229538846710893,0.000891165804585,0,0,0,1
2019-06-06 12:06:05.237625122,-0.95,0.8,-1.35,-0.05,-0.45,-1.35,-0.575,-0.575,0.035284088178951,-0.008102486530064,0.018145752029187,-0.023489451355476,0,0,0,1
2019-06-06 12:06:05.237750053,0.51219512195122,0.585365853658537,-0.170731707317073,-0.634146341463415,-1.14634146341463,-1.58536585365854,-0.439024390243902,1.04878048780488,-0.006991169903298,-0.142484450619506,0.044388116884239,-0.028007019738355,0,0,0,1
2019-06-06 12:06:05.237874985,0.717948717948718,-3.17948717948718,-0.82051282051282,-0.615384615384615,-0.82051282051282,3.56410256410256,-0.58974358974359,-3.20512820512821,-0.072817013270562,0.076008148373972,0.01365020594318,0.020712120925555,0,0,0,1
2019-06-06 12:06:05.237999916,-4.82926829268293,-5.24390243902439,0.146341463414634,-0.439024390243902,7.21951219512195,1.34146341463415,-0.682926829268293,-2.60975609756098,-0.178662265282129,0.150512434215496,-0.273267923260823,0.058227847310782,0,0,0,1
2019-06-06 12:06:05.238125086,-1.84615384615385,-0.358974358974359,-0.461538461538462,-0.794871794871795,-0.358974358974359,5.05128205128205,-0.897435897435897,0.58974358974359,-0.149947094068458,0.033975105275954,-0.039435969896708,-0.028738450328574,0,0,0,1
2019-06-06 12:06:05.238250017,1.075,0.3,-0.725,-0.825,-2.45,-4.15,-1.75,-0.875,0.131554708072095,-0.113004978203733,0.083926072497441,-0.001220968099666,0,0,0,1
2019-06-06 12:06:05.238374949,-4.31707317073171,2.80487804878049,-1.80487804878049,-0.975609756097561,-2.09756097560976,-3.73170731707317,-0.804878048780488,-2.29268292682927,0.19724009520105,0.048748809140066,-0.034401579227321,-0.048175839207147,0,0,0,1
2019-06-06 12:06:05.238500118,9.48717948717949,6,-1.41025641025641,-0.487179487179487,-2.07692307692308,-7.53846153846154,-1.97435897435897,-4.87179487179487,0.183816953115042,-0.28253842109385,0.483115467026219,0.163590659618894,0,0,0,1
2019-06-06 12:06:05.238625050,0.048780487804878,-1.95121951219512,-0.926829268292683,0.024390243902439,-1.14634146341463,-1.48780487804878,-0.536585365853659,-0.51219512195122,0.034325516965988,-0.031021568880502,-0.004257852488987,-0.030452383587868,0,0,0,1
2019-06-06 12:06:05.238749981,-0.769230769230769,-1.30769230769231,-0.974358974358974,-1.41025641025641,-1.92307692307692,-3,-1.87179487179487,-0.743589743589744,0.139322227154437,0.013031926079581,0.027687917767152,-0.0301751112713,0,0,0,1
2019-06-06 12:06:05.238874912,-4,-1.625,-1.425,-0.775,0.2,3.625,0.8,-1.45,-0.053510229410538,0.185002534129968,-0.09894097204846,-0.068837927601078,0,0,0,1
2019-06-06 12:06:05.239000082,-4,-0.25,-0.475,-0.802134146341463,-0.325,1.425,0.125,0.1,-0.046265780173078,0.020753509799715,-0.120108709735716,-0.062303206060646,0,0,0,1
2019-06-06 12:06:05.239125013,-1.26829268292683,0.682926829268293,-0.634146341463415,-0.829268292682927,-2.8780487804878,-1.95121951219512,-2.39024390243902,1.36585365853659,0.081475226377327,-0.088767995463385,0.004386976934435,-0.044685340391524,0,0,0,1
2019-06-06 12:06:05.239249945,-1.20512820512821,2,-0.102564102564103,0.051282051282051,-2.92307692307692,1.66666666666667,0.025641025641026,-1.43589743589744,-0.064980112025671,-0.158656940547831,-0.04297060099486,-0.009690927253898,0,0,0,1
2019-06-06 12:06:05.239375114,1.2,2.675,-1.925,-2.025,-3.4,-4.5,-1.025,-0.35,0.23411457762593,0.005404544441985,0.229107366186254,-0.05504118109294,0,0,0,1
2019-06-06 12:06:05.239500046,-0.95,0.825,-2.15,-1.85,-3.925,-1.125,-0.6,-1.025,0.186620119862037,0.11788768756287,0.124080070734673,-0.085887377689564,0,0,0,1
2019-06-06 12:06:05.239624977,-4.925,-3.5,-0.975,-0.225,-0.75,-0.9,1.475,-2.325,0.058215352803076,0.095718440123773,-0.206876384491998,-0.087702916154046,0,0,0,1
2019-06-06 12:06:05.239749908,0.390243902439024,-0.536585365853659,-0.121951219512195,0.121951219512195,0.195121951219512,0.951219512195122,-0.487804878048781,-1.82926829268293,-0.098487723548408,-0.099471123040815,-0.019417907271907,0.038049611499851,0,0,0,1
2019-06-06 12:06:05.239875078,-0.358974358974359,-1.15384615384615,-0.974358974358974,-0.307692307692308,-2.97435897435897,-3.23076923076923,-3.05128205128205,-0.435897435897436,0.135283693570156,-0.06150381486466,0.000491153943735,-0.011897751982182,0,0,0,1
2019-06-06 12:06:05.240000010,-1.725,-0.625,-1.65,-1.15384615384615,-3.1,-0.65,-1.95,-2.2,0.138897805701568,0.092584193256603,0.015988921688556,-0.031382520069882,0,0,0,1
2019-06-06 12:06:05.240124941,-0.35,-0.675,-0.525,-2,0.55,0.175,-1.125,-2.25,0.004371743385343,0.05039158337433,0.050379247573561,0.024650798380857,0,0,0,1
